character	grade	frequency_rank	stroke_count	meaning	onyomi	kunyomi	radical
減	5	261	12	dwindle, decrease, reduce, decline, curtail, get hungry	ゲン	へ.る,へ.らす	汁
台	2	262	5	pedestal, a stand, counter for machines and vehicles	ダイ,タイ	うてな,われ,つかさ	口
広	2	263	5	wide, broad, spacious	コウ	ひろ.い,ひろ.まる,ひろ.める,ひろ.がる,ひろ.げる	广
容	5	264	10	contain, form, looks	ヨウ	い.れる	宀
必	4	265	5	invariably, certain, inevitable	ヒツ	かなら.ず	心
応	5	266	7	apply, answer, yes, OK, reply, accept	オウ,ヨウ,-ノウ	あた.る,まさに,こた.える	心
演	5	267	14	performance, act, play, render, stage	エン		汁
電	2	268	13	electricity	デン		雨
歳	8	269	13	year-end, age, occasion, opportunity	サイ,セイ	とし,とせ,よわい	止
住	3	270	7	dwell, reside, live, inhabit	ジュウ,ヂュウ,チュウ	す.む,す.まう,-ず.まい	化
争	4	271	6	contend, dispute, argue	ソウ	あらそ.う,いか.でか	亅
談	3	272	15	discuss, talk	ダン		言
能	5	273	10	ability, talent, skill, capacity	ノウ	よ.く,あた.う	肉
無	4	274	12	nothingness, none, ain't, nothing, nil, not	ム,ブ	な.い	火
再	5	275	6	again, twice, second time	サイ,サ	ふたた.び	冂
位	4	276	7	rank, grade, throne, crown, about, some	イ	くらい,ぐらい	化
置	4	277	13	placement, put, set, deposit, leave behind, keep, employ, pawn	チ	お.く,-お.き	
企	8	278	6	undertake, scheme, design, attempt, plan	キ	くわだ.てる,たくら.む	化
真	3	279	10	true, reality, Buddhist sect	シン	ま,ま-,まこと	目
流	3	280	10	current, a sink, flow, forfeit	リュウ,ル	なが.れる,なが.れ,なが.す,-なが.す	汁
格	5	281	10	status, rank, capacity, character, case (law, grammar)	カク,コウ,キャク,ゴウ		木
有	3	282	6	possess, have, exist, happen, occur, approx	ユウ,ウ	あ.る	月
疑	6	283	14	doubt, distrust, be suspicious, question	ギ	うたが.う	疋
口	1	284	3	mouth	コウ,ク	くち	口
過	5	285	12	overdo, exceed, go beyond, error	カ	す.ぎる,す.ごす,あやま.ち,あやま.つ,よぎ.る,よ.ぎる	込
局	3	286	7	bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment	キョク	つぼね	尸
少	2	287	4	few, little	ショウ	すく.ない,すこ.し	小
放	3	288	8	set free, release, fire, shoot, emit, banish, liberate	ホウ	はな.す,-っぱな.し,はな.つ,はな.れる,こ.く,ほう.る	攵
税	5	289	12	tax, duty	ゼイ		禾
検	5	290	12	examination, investigate	ケン	しら.べる	木
藤	8	291	18	wisteria	トウ,ドウ	ふじ	艾
町	1	292	7	town, village, block, street	チョウ	まち	田
常	5	293	11	usual, ordinary, normal, common, regular, continually, always, long-lasting	ジョウ	つね,とこ-	巾
校	1	294	10	exam, school, printing, proof, correction	コウ,キョウ		木
料	4	295	10	fee, materials	リョウ		斗
沢	8	296	7	swamp, marsh, brilliance, grace	タク	さわ,うるお.い,うるお.す,つや	汁
裁	6	297	12	tailor, judge, decision, cut out (pattern)	サイ	た.つ,さば.く	衣
状	5	298	7	status quo, conditions, circumstances, form, appearance	ジョウ		犯
工	2	299	3	craft, construction, katakana e radical (no. 48)	コウ,ク,グ		工
建	4	300	9	build	ケン,コン	た.てる,た.て,-だ.て,た.つ	廴
語	2	301	14	word, speech, language	ゴ	かた.る,かた.らう	言
球	3	302	11	ball, sphere	キュウ	たま	王
営	5	303	12	camp, perform, build, conduct (business)	エイ	いとな.む,いとな.み	口
空	1	304	8	empty, sky, void, vacant, vacuum	クウ	そら,あ.く,あ.き,あ.ける,から,す.く,す.かす,むな.しい	穴
職	5	305	18	post, employment, work	ショク,ソク		耳
証	5	306	12	evidence, proof, certificate	ショウ	あかし	言
土	1	307	3	soil, earth, ground, Turkey	ド,ト	つち	土
与	8	308	3	bestow, participate in, give, award, impart, provide, cause, gift, godsend	ヨ	あた.える,あずか.る,くみ.する,ともに	一
急	3	309	9	hurry, emergency, sudden, steep	キュウ	いそ.ぐ,いそ.ぎ,せ.く	心
止	2	310	4	stop, halt	シ	と.まる,-ど.まり,と.める,-と.める,-ど.め,とど.める,とど.め,とど.まる,や.める,や.む,-や.む,よ.す,-さ.す,-さ.し	止
送	3	311	9	escort, send	ソウ	おく.る	込
援	8	312	12	abet, help, save	エン		扎
供	6	313	8	submit, offer, present, serve (meal), accompany	キョウ,ク,クウ,グ	そな.える,とも,-ども	化
可	5	314	5	can, passable, approval	カ,コク	-べ.き,-べ.し	口
役	3	315	7	duty, war, campaign, drafted labor, office, service, role	ヤク,エキ		彳
