character	grade	frequency_rank	stroke_count	meaning	onyomi	kunyomi	radical
怪	8	1634	8	suspicious, mystery, apparition	カイ,ケ	あや.しい,あや.しむ	心
燃	5	948	16	burn, blaze, glow	ネン	も.える,も.やす,も.す	火
夏	2	659	10	summer	カ,ガ,ゲ	なつ	
至	6	996	6	climax, arrive, proceed, reach, attain, result in	シ	いた.る	至
嫁	8	1581	13	marry into, bride	カ	よめ,とつ.ぐ,い.く,ゆ.く	女
婦	5	671	11	lady, woman, wife, bride	フ	よめ	女
鴨	9	1797	16	wild duck, easy mark	オウ	かも,あひる	鳥
系	6	567	7	lineage, system	ケイ		糸
簿	8	1358	19	register, record book	ボ		竹
畜	8	1824	10	livestock, domestic fowl and animals	チク		田
庭	3	816	10	courtyard, garden, yard	テイ	にわ	广
礼	3	1185	5	salute, bow, ceremony, thanks, remuneration	レイ,ライ		示
占	8	694	5	fortune-telling, divining, forecasting, occupy, hold, have, get, take	セン	し.める,うらな.う	卜
庁	6	793	5	government office	チョウ,テイ	やくしょ	广
暇	8	1386	13	spare time, rest, leisure, time, leave of absence	カ	ひま,いとま	日
涯	8	1525	11	horizon, shore, limit, bound	ガイ	はて	汁
敢	8	1859	12	daring, brave, bold, sad, tragic, pitiful	カン	あ.えて,あ.えない,あ.えず	攵
樹	6	988	16	timber, trees, wood, establish, set up	ジュ	き	木
汁	8	1843	5	soup, juice, broth, sap, gravy, pus	ジュウ	しる,-しる,つゆ	汁
架	8	1555	9	erect, frame, mount, support, shelf, construct	カ	か.ける,か.かる	木
詩	3	1196	13	poem, poetry	シ	うた	言
詞	6	1636	12	part of speech, words, poetry	シ	ことば	言
唱	4	1123	11	chant, recite, call upon, yell	ショウ	とな.える	口
姫	8	1566	10	princess	キ	ひめ,ひめ-	女
謡	8	1580	16	song, sing, ballad, noh chanting	ヨウ	うた.い,うた.う	言
瓶	8	1528	11	bottle, vial, jar, jug, vat, urn	ビン,ヘイ	かめ	瓦
花	1	578	7	flower	カ,ケ	はな	艾
災	5	976	7	disaster, calamity, woe, curse, evil	サイ	わざわ.い	火
険	5	707	11	precipitous, inaccessible place, impregnable position, steep place, sharp eyes	ケン	けわ.しい	阡
灰	6	1717	6	ashes, puckery juice, cremate	カイ	はい	火
葬	8	754	12	interment, bury, shelve	ソウ	ほうむ.る	艾
鉢	8	1890	13	bowl, rice tub, pot, crown	ハチ,ハツ		金
曜	2	940	18	weekday	ヨウ		日
稼	8	1264	15	earnings, work, earn money	カ	かせ.ぐ	禾
片	6	1076	4	one-sided, leaf, sheet, right-side kata radical (no. 91)	ヘン	かた-,かた	片
束	4	918	7	bundle, sheaf, ream, tie in bundles, govern, manage, control	ソク	たば,たば.ねる,つか,つか.ねる	木
輪	4	693	15	wheel, ring, circle, link, loop, counter for wheels and flowers	リン	わ	車
虐	8	1464	9	tyrannize, oppress	ギャク	しいた.げる	虍
荷	3	1230	10	baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight	カ	に	艾
札	4	921	5	tag, paper money, counter for bonds, placard, bid	サツ	ふだ	木
揚	8	1316	12	raise, elevate, hoist, praise, extol, fry in deep fat	ヨウ	あ.げる,-あ.げ,あ.がる	扎
麗	8	1758	19	lovely, beautiful, graceful, resplendent	レイ	うるわ.しい,うら.らか	鹿
徴	8	850	14	indications, sign, omen, symptom, collect, seek, refer to, question	チョウ,チ	しるし	彳
貨	4	822	11	freight, goods, property	カ	たから	貝
幣	8	1803	15	cash, bad habit, humble prefix, gift, Shinto offerings of cloth, rope, cut paper	ヘイ	ぬさ	巾
弊	8	1750	15	abuse, evil, vice, breakage	ヘイ		廾
誤	6	1150	14	mistake, err, do wrong, mislead	ゴ	あやま.る,-あやま.る	言
激	6	560	16	violent, get excited, enraged, chafe, incite	ゲキ	はげ.しい	汁
剰	8	1448	11	surplus, besides	ジョウ	あまつさえ,あま.り,あま.る	刀
疎	8	1572	12	alienate, rough, neglect, shun, sparse, penetrate	ソ,ショ	うと.い,うと.む,まば.ら	疋
密	6	815	11	secrecy, density (pop), minuteness, carefulness	ミツ	ひそ.か	宀
霞	9	1603	17	be hazy, grow dim, blurred	カ,ゲ	かすみ,かす.む	雨
我	6	829	7	ego, I, selfish, our, oneself	ガ	われ,わ,わ.が-,わが-	戈
吾	9	1828	7	I, my, our, one's own	ゴ	われ,わが-,あ-	口
慢	8	1368	14	ridicule, laziness	マン		心
廊	8	1598	12	corridor, hall, tower	ロウ		广
芽	4	1691	8	bud, sprout, spear, germ	ガ	め	艾
賀	4	1056	12	congratulations, joy	ガ		貝
雅	8	1192	13	gracious, elegant, graceful, refined	ガ	みや.び	隹
介	8	617	4	jammed in, shellfish, mediate, concern oneself with	カイ		化
遭	8	1554	14	encounter, meet, party, association, interview, join	ソウ	あ.う,あ.わせる	込
遇	8	1343	12	meet, encounter, interview, treat, entertain, receive, deal with	グウ	あ.う	込
釈	8	1097	11	explanation	シャク,セキ	とく,す.てる,ゆる.す	釆
則	5	753	9	rule, law, follow, based on, model after	ソク	のっと.る,のり,すなわち	刀
禁	5	681	13	prohibition, ban, forbid	キン		示
雇	8	975	12	employ, hire	コ	やと.う	隹
散	4	758	12	scatter, disperse, spend, squander	サン	ち.る,ち.らす,-ち.らす,ち.らかす,ち.らかる,ち.らばる,ばら,ばら.ける	攵
除	6	594	10	exclude, division (x/3), remove, abolish, cancel, except	ジョ,ジ	のぞ.く,-よ.け	阡
析	8	980	8	chop, divide, tear, analyze	セキ		木
剖	8	1918	10	divide	ボウ		刀
忌	8	1882	7	mourning, abhor, detestable, death anniversary	キ	い.む,い.み,い.まわしい	心
顧	8	1058	21	look back, review, examine oneself, turn around	コ	かえり.みる	頁
券	6	583	8	ticket	ケン		刀
避	8	756	16	evade, avoid, avert, ward off, shirk, shun	ヒ	さ.ける,よ.ける	込
快	5	1074	7	cheerful, pleasant, agreeable, comfortable	カイ	こころよ.い	心
壊	8	727	16	demolition, break, destroy	カイ,エ	こわ.す,こわ.れる,やぶ.る	土
晴	2	1022	12	clear up	セイ	は.れる,は.れ,は.れ-,-ば.れ,は.らす	日
獣	8	1714	16	animal, beast	ジュウ	けもの,けだもの	犯
悔	8	1460	9	repent, regret	カイ	く.いる,く.やむ,くや.しい	心
泣	4	1380	8	cry, weep, moan	キュウ	な.く	汁
懐	8	1493	16	feelings, heart, yearn, miss someone, become attached to, bosom, breast, pocket	カイ,エ	ふところ,なつ.かしい,なつ.かしむ,なつ.く,なつ.ける,なず.ける,いだ.く,おも.う	心
灯	4	1605	6	lamp, a light, light, counter for lights	トウ	ひ,ほ-,ともしび,とも.す,あかり	火
戒	8	1062	7	commandment	カイ	いまし.める	戈
令	4	804	5	orders, laws, command, decree, good	レイ		化
宗	6	997	8	religion, sect, denomination, main point, origin, essence	シュウ,ソウ	むね	宀
修	5	603	10	discipline, conduct oneself well, study, master	シュウ,シュ	おさ.める,おさ.まる	化
善	6	765	12	virtuous, good, goodness	ゼン	よ.い,い.い,よ.く,よし.とする	口
築	5	821	16	fabricate, build, construct	チク	きず.く	竹
訂	8	1690	9	revise, correct, decide	テイ	ただ.す	言
版	5	802	8	printing block, printing plate, edition, impression, label	ハン		片
編	5	591	15	compilation, knit, plait, braid, twist, editing, completed poem, part of a book	ヘン	あ.む,-あ.み	糸
峡	8	1833	9	gorge, ravine	キョウ,コウ	はざま	山
溝	8	1736	13	gutter, ditch, sewer, drain, 10**32	コウ	みぞ	汁
浴	4	1136	10	bathe, be favored with, bask in	ヨク	あ.びる,あ.びせる	汁
紫	8	1516	12	purple, violet	シ	むらさき	糸
底	4	867	8	bottom, sole, depth, bottom price, base, kind, sort	テイ	そこ	广
豚	8	1864	11	pork, pig	トン	ぶた	豕
浜	8	645	10	seacoast, beach, seashore	ヒン	はま	汁
隊	4	605	12	regiment, party, company, squad	タイ		阡
皿	3	1812	5	dish, a helping, plate	ベイ	さら	皿
皆	8	1267	9	all, everything	カイ	みな,みんな	白
辛	8	1607	7	spicy, bitter, hot, acrid	シン	から.い,つら.い,-づら.い,かのと	辛
催	8	536	13	sponsor, hold (a meeting), give (a dinner)	サイ	もよう.す,もよお.す	化
城	4	795	9	castle	ジョウ,セイ	しろ	土
拓	8	1526	8	clear (the land), open, break up (land)	タク	ひら.く	扎
廷	8	1439	7	courts, imperial court, government office	テイ		廴
途	8	717	10	route, way, road	ト	みち	込
閉	6	951	11	closed, shut	ヘイ	と.じる,と.ざす,し.める,し.まる,た.てる	門
殻	8	1892	11	husk, nut shell	カク,コク,バイ	から,がら	殳
郭	8	1670	11	enclosure, quarters, fortification, red-light district	カク	くるわ	邦
需	8	935	14	demand, request, need	ジュ		雨
傷	6	845	13	wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point	ショウ	きず,いた.む,いた.める	化
壁	8	1037	16	wall, lining (stomach), fence	ヘキ	かべ	土
堀	8	1285	11	ditch, moat, canal	クツ	ほり	土
遊	3	941	12	play	ユウ,ユ	あそ.ぶ,あそ.ばす	込
虫	1	1351	6	insect, bug, temper	チュウ,キ	むし	虫
略	5	774	11	abbreviation, omission, outline, shorten, capture, plunder	リャク	ほぼ,はぶ.く,おか.す,おさ.める,はかりごと,はか.る	田
街	4	891	12	boulevard, street, town	ガイ,カイ	まち	行
該	8	1648	13	above-stated, the said, that specific	ガイ		言
甲	8	1073	5	armor, high (voice), A grade, first class, former, instep, carapace	コウ,カン	きのえ	田
垣	8	1539	9	hedge, fence, wall	エン	かき	土
柿	8	1745	9	persimmon	シ	かき	木
拡	6	611	8	broaden, extend, expand, enlarge	カク,コウ	ひろ.がる,ひろ.げる,ひろ.める	扎
充	8	949	6	allot, fill	ジュウ	あ.てる,み.たす	儿
闘	8	751	18	fight, war	トウ	たたか.う,あらそ.う	門
獲	8	964	16	seize, get, find, earn, acquire, can, may, able to	カク	え.る	犯
固	4	750	8	harden, set, clot, curdle	コ	かた.める,かた.まる,かた.まり,かた.い	囗
覚	4	710	12	memorize, learn, remember, awake, sober up	カク	おぼ.える,さ.ます,さ.める,さと.る	見
悟	8	1411	10	enlightenment, perceive, discern, realize, understand	ゴ	さと.る	心
膜	8	1804	14	membrane	マク		肉
僚	8	709	14	colleague, official, companion	リョウ		化
靴	8	1561	13	shoes	カ	くつ	革
皮	3	1092	5	pelt, skin, hide, leather, skin radical (no. 107)	ヒ	かわ	皮
徒	4	817	10	on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people	ト	いたずら,あだ	彳
童	3	1138	12	juvenile, child	ドウ	わらべ	立
友	2	622	4	friend	ユウ	とも	又
齢	8	770	17	age	レイ	よわい,とし	歯
岳	8	1334	8	point, peak, mountain	ガク	たけ	山
愉	8	1974	12	pleasure, happy, rejoice	ユ	たの.しい,たの.しむ	心
娯	8	1827	10	recreation, pleasure	ゴ		女
章	3	990	11	badge, chapter, composition, poem, design	ショウ		立
譜	8	1919	19	musical score, music, note, staff, table, genealogy	フ		言
笠	9	1499	11	bamboo hat, one's influence	リュウ	かさ	竹
潟	4	1204	15	lagoon	セキ	かた,-がた	汁
譲	8	984	20	defer, turnover, transfer, convey	ジョウ	ゆず.る	言
喝	8	1858	11	hoarse, scold	カツ		口
渇	8	1944	11	thirst, dry up, parch	カツ	かわ.く	汁
滑	8	1238	13	slippery, slide, slip, fail exam	カツ,コツ	すべ.る,なめ.らか	汁
葛	8	1547	11	arrowroot, kudzu	カツ,カチ	つづら,くず	艾
包	4	954	5	wrap, pack up, cover, conceal	ホウ	つつ.む,くる.む	勹
蒲	9	1887	13	bullrush, flag, cattail	ホ,ボ,フ,ブ	がま,かば,かま	艾
釜	8	1761	10	kettle, cauldron, iron pot	フ	かま	金
乾	8	1453	11	drought, dry, desiccate, drink up, heaven, emperor	カン,ケン	かわ.く,かわ.かす,ほ.す,ひ.る,いぬい	乞
燥	8	1819	17	parch, dry up	ソウ	はしゃ.ぐ	火
池	2	827	6	pond, cistern, pool, reservoir	チ	いけ	汁
婚	8	767	11	marriage	コン		女
冷	4	667	7	cool, cold (beer, person), chill	レイ	つめ.たい,ひ.える,ひ.や,ひ.ややか,ひ.やす,ひ.やかす,さ.める,さ.ます	冫
刊	5	855	5	publish, carve, engrave	カン		刀
勘	8	1494	11	intuition, perception, check, compare, sixth sense	カン		力
勧	8	1068	13	persuade, recommend, advise, encourage, offer	カン,ケン	すす.める	力
薦	8	1082	16	recommend, mat, advise, encourage, offer	セン	すす.める	艾
奨	8	1445	13	exhort, urge, encourage	ショウ,ソウ	すす.める	大
懲	8	1303	18	penal, chastise, punish, discipline	チョウ	こ.りる,こ.らす,こ.らしめる	心
誘	8	993	14	entice, lead, tempt, invite, ask, call for, seduce, allure	ユウ	さそ.う,いざな.う	言
喚	8	1120	12	yell, cry, call, scream, summon	カン	わめ.く	口
叫	8	1426	6	shout, exclaim, yell	キョウ	さけ.ぶ	口
耐	8	1295	9	-proof, enduring	タイ	た.える	而
堪	8	1953	12	withstand, endure, support, resist	カン,タン	た.える,たま.る,こら.える,こた.える	土
完	4	595	7	perfect, completion, end	カン		宀
遂	8	1423	12	consummate, accomplish, attain, commit (suicide)	スイ	と.げる,つい.に	込
了	8	792	2	complete, finish	リョウ		亅
邸	8	905	8	residence, mansion	テイ	やしき	邦
房	8	808	8	tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room	ボウ	ふさ	戸
寛	8	1377	13	tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded	カン	くつろ.ぐ,ひろ.い,ゆる.やか	宀
干	6	1349	3	dry, parch, ebb, recede, interfere, intercede	カン	ほ.す,ほ.し-,-ぼ.し,ひ.る	干
患	8	796	11	afflicted, disease, suffer from, be ill	カン	わずら.う	心
慨	8	1875	13	rue, be sad, sigh, lament	ガイ	なげ.く	心
謝	5	1028	17	apologize, thank, refuse	シャ	あやま.る	言
触	8	904	13	contact, touch, feel, hit, proclaim, announce, conflict	ショク	ふ.れる,さわ.る,さわ	角
嘆	8	1584	13	sigh, lament, moan, grieve, sigh of admiration	タン	なげ.く,なげ.かわしい	口
銘	8	1394	14	inscription, signature (of artisan)	メイ		金
肝	8	1118	7	liver, pluck, nerve, chutzpah	カン	きも	肉
涙	8	1381	10	tears, sympathy	ルイ,レイ	なみだ	汁
慣	5	1177	14	accustomed, get used to, become experienced	カン	な.れる,な.らす	心
換	8	687	12	interchange, period, change, convert, replace, renew	カン	か.える,-か.える,か.わる	扎
扇	8	1805	10	fan, folding fan	セン	おうぎ	戸
歓	8	1065	15	delight, joy	カン	よろこ.ぶ	欠
迎	8	625	7	welcome, meet, greet	ゲイ	むか.える	込
款	8	1854	12	goodwill, article, section, friendship, collusion	カン		欠
漢	3	1487	13	Sino-, China	カン		汁
還	8	910	16	send back, return	カン	かえ.る	込
甘	8	1248	5	sweet, coax, pamper, be content, sugary	カン	あま.い,あま.える,あま.やかす,うま.い	甘
酢	8	1955	12	vinegar, sour, acid, tart	サク	す	酉
獄	8	1529	14	prison, jail	ゴク		犯
看	6	1060	9	watch over, see	カン	み.る	目
轄	8	1771	17	control, wedge	カツ	くさび	車
弦	8	1773	8	bowstring, chord, hypotenuse	ゲン	つる	弓
簡	6	983	18	simplicity, brevity	カン,ケン	えら.ぶ,ふだ	竹
潔	5	1595	15	undefiled, pure, clean, righteous, gallant	ケツ	いさぎよ.い	汁
短	3	689	12	short, brevity, fault, defect, weak point	タン	みじか.い	矢
衝	8	972	15	collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick	ショウ	つ.く	行
缶	8	1543	6	tin can, container, jar radical (no. 121)	カン	かま	缶
胆	8	1449	9	gall bladder, courage, pluck, nerve	タン	きも	肉
硬	8	1101	12	stiff, hard	コウ	かた.い	石
臓	6	991	19	entrails, viscera, bowels	ゾウ	はらわた	肉
艦	8	1363	21	warship	カン		舟
船	2	713	11	ship, boat	セン	ふね,ふな-	舟
艇	8	1433	13	rowboat, small boat	テイ		舟
測	5	761	12	fathom, plan, scheme, measure	ソク	はか.る	汁
暦	8	1765	14	calendar, almanac	レキ,リャク	こよみ	日
髪	8	1474	14	hair of the head	ハツ	かみ	髟
借	4	932	10	borrow, rent	シャク	か.りる	化
節	4	934	13	node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody	セツ,セチ	ふし,-ぶし,のっと	竹
聯		1967	17	party, gang, clique	レン	つら.なる,つら.ねる	耳
脇	8	1806	10	armpit, the other way, another place, flank, supporting role	キョウ	わき,わけ	肉
陥	8	1154	10	collapse, fall into, cave in, fall (castle), slide into	カン	おちい.る,おとしい.れる	阡
没	8	1385	7	drown, sink, hide, fall into, disappear, die	ボツ,モツ	おぼ.れる,しず.む,ない	汁
蓄	8	1260	13	amass, raise, hoard, store	チク	たくわ.える	艾
眼	5	1527	11	eyeball	ガン,ゲン	まなこ,め	目
巌	9	1986	20	rock, crag, boulder	ガン	いわ,いわお,けわ.しい	山
磐	9	1701	15	rock, crag, cliff, wall (in a mine)	バン,ハン	いわ	石
頑	8	1247	13	stubborn, foolish, firmly	ガン	かたく.な	頁
危	6	606	6	dangerous, fear, uneasy	キ	あぶ.ない,あや.うい,あや.ぶむ	卩
悦	8	1762	10	ecstasy, joy, rapture	エツ	よろこ.ぶ,よろこ.ばす	心
慶	8	1300	15	jubilation, congratulate, rejoice, be happy	ケイ	よろこ.び	心
怒	8	1221	9	angry, be offended	ド,ヌ	いか.る,おこ.る	心
材	4	565	7	lumber, log, timber, wood, materials, ingredients, talent	ザイ		木
礎	8	1224	18	cornerstone, foundation stone	ソ	いしずえ	石
襲	8	1130	22	attack, advance on, succeed to, pile, heap	シュウ	おそ.う,かさ.ね	衣
妙	8	1122	7	exquisite, strange, queer, mystery, miracle, excellent, delicate, charming	ミョウ,ビョウ	たえ	女
岐	4	1428	7	branch off, fork in road, scene, arena, theater	キ,ギ		山
揮	6	946	12	brandish, wave, wag, swing, shake	キ	ふる.う	扎
机	6	1671	6	desk, table	キ	つくえ	木
旗	4	1190	14	flag, banner, standard	キ	はた	方
幡	9	1948	15	flag	マン,ハン,バン,ホン	はた	巾
既	8	1081	10	previously, already, long ago	キ	すで.に	无
棋	8	1311	12	chess piece, Japanese chess, shogi	キ	ご	木
棄	8	901	13	abandon, throw away, discard, resign, reject, sacrifice	キ	す.てる	木
却	8	959	7	instead, on the contrary, rather, step back, withdraw, retreat	キャク	かえ.って,しりぞ.く,しりぞ.ける	卩
械	4	1321	11	contraption, fetter, machine, instrument	カイ	かせ	木
銃	8	1013	14	gun, arms	ジュウ	つつ	金
嫌	8	1207	13	dislike, detest, hate	ケン,ゲン	きら.う,きら.い,いや	女
雷	8	1491	13	thunder, lightning bolt	ライ	かみなり,いかずち,いかづち	雨
属	5	912	12	belong, genus, subordinate official, affiliated	ゾク,ショク	さかん,つく,やから	尸
毒	5	1419	8	poison, virus, venom, germ, harm, injury, spite	ドク		毋
狂	8	1425	7	lunatic, insane, crazy, confuse	キョウ	くる.う,くる.おしい,くるお.しい	犯
軽	3	790	12	lightly, trifling, unimportant	ケイ,キョウ,キン	かる.い,かろ.やか,かろ.んじる	車
兼	8	1164	10	concurrently, and, beforehand, in advance	ケン	か.ねる,-か.ねる	ハ
絶	5	784	12	discontinue, sever, cut off, abstain, interrupt, suppress, be beyond, without match, peerless, unparalleled	ゼツ	た.える,た.やす,た.つ	糸
泡	8	1872	8	bubbles, foam, suds, froth	ホウ	あわ	汁
笛	3	1928	11	flute, clarinet, pipe, whistle, bagpipe, piccolo	テキ	ふえ	竹
祈	8	1462	8	pray, wish	キ	いの.る	示
季	4	842	8	seasons	キ		子
紀	5	780	9	chronicle, account, narrative, history, annals, geologic period	キ		糸
模	6	668	14	imitation, copy, mock	モ,ボ		木
誌	6	851	14	document, records	シ		言
載	8	825	13	ride, board, get on, place, spread, 10**44, record, publish	サイ	の.せる,の.る	車
帳	3	1459	11	notebook, account book, album, curtain, veil, net, tent	チョウ	とばり	巾
碑	8	1792	14	tombstone, monument	ヒ	いしぶみ	石
貴	6	970	12	precious, value, prize, esteem, honor	キ	たっと.い,とうと.い,たっと.ぶ,とうと.ぶ	貝
債	8	728	13	bond, loan, debt	サイ		化
爆	8	735	19	bomb, burst open, pop, split	バク	は.ぜる	火
伏	8	1604	6	prostrated, bend down, bow, cover, lay (pipes)	フク	ふ.せる,ふ.す	化
軌	8	1480	9	rut, wheel, track, model, way of doing	キ		車
輝	8	1259	15	radiance, shine, sparkle, gleam, twinkle	キ	かがや.く	車
飢	8	1659	10	hungry, starve	キ	う.える	食
餓	8	1754	15	starve, hungry, thirst	ガ	う.える	食
騎	8	1696	18	equestrian, riding on horses, counter for equestrians	キ		馬
亀	8	1353	11	tortoise, turtle	キ,キュウ,キン	かめ	乞
偽	8	1171	11	falsehood, lie, deceive, pretend, counterfeit, forgery	ギ,カ	いつわ.る,にせ,いつわ.り	化
詐	8	1511	12	lie, falsehood, deceive, pretend	サ	いつわ.る	言
宜	8	1766	8	best regards, good	ギ	よろ.しい,よろ.しく	宀
宣	6	695	9	proclaim, say, announce	セン	のたま.う	宀
巧	8	1537	5	adroit, skilled, ingenuity	コウ	たく.み,たく.む,うま.い	工
欺	8	1541	12	deceit, cheat, delude	ギ	あざむ.く	欠
犠	8	1189	17	sacrifice	ギ,キ	いけにえ	牛
牲	8	1274	9	animal sacrifice, offering	セイ		牛
惑	8	777	12	beguile, delusion, perplexity	ワク	まど.う	心
歯	3	1106	12	tooth, cog	シ	よわい,は,よわ.い,よわい.する	止
弟	2	1161	7	younger brother, faithful service to elders	テイ,ダイ,デ	おとうと	弓
妹	2	1446	8	younger sister	マイ	いもうと	女
菊	8	1287	11	chrysanthemum	キク		艾
兆	4	1174	6	portent, 10**12, trillion, sign, omen, symptoms	チョウ	きざ.す,きざ.し	儿
驚	8	1141	22	wonder, be surprised, frightened, amazed	キョウ	おどろ.く,おどろ.かす	馬
喫	8	1347	12	consume, eat, drink, smoke, receive (a blow)	キツ	の.む	口
効	5	538	8	merit, efficacy, efficiency, benefit	コウ	き.く,ききめ,なら.う	力
丘	8	1405	5	hill, knoll	キュウ	おか	一
陵	8	1746	11	mausoleum, imperial tomb, mound, hill	リョウ	みささぎ	阡
振	8	614	10	shake, wave, wag, swing	シン	ふ.る,ふ.れる,ふ.るう	扎
憩	8	1731	16	recess, rest, relax, repose	ケイ	いこ.い,いこ.う	心
講	5	653	17	lecture, club, association	コウ		言
吸	6	1054	6	suck, imbibe, inhale, sip	キュウ	す.う	口
血	3	832	6	blood	ケツ	ち	血
殿	8	1199	13	Mr., hall, mansion, palace, temple, lord	デン,テン	との,-どの	殳
弓	2	1802	3	bow, bow (archery, violin)	キュウ	ゆみ	弓
騰	8	1420	20	leaping up, jumping up, rising, advancing, going	トウ	あが.る,のぼ.る	馬
救	5	799	11	salvation, save, help, rescue, reclaim	キュウ	すく.う	攵
刑	8	864	6	punish, penalty, sentence, punishment	ケイ		刀
菌	8	1586	11	germ, fungus, bacteria	キン		艾
窮	8	1756	15	hard up, destitute, suffer, perplexed, cornered	キュウ,キョウ	きわ.める,きわ.まる,きわ.まり,きわ.み	穴
屈	8	1434	8	yield, bend, flinch, submit	クツ	かが.む,かが.める	尸
乏	8	1646	4	destitution, scarce, limited	ボウ	とぼ.しい,とも.しい	ノ
糾	8	1820	9	twist, ask, investigate, verify	キュウ	ただ.す	糸
鳩	9	1637	13	pigeon, dove	キュウ,ク	はと,あつ.める	鳥
油	3	690	8	oil, fat	ユ,ユウ	あぶら	汁
旧	5	549	5	old times, old things, old friend, former, ex-	キュウ	ふる.い,もと	日
姓	8	1628	8	surname	セイ,ショウ		女
肉	2	986	6	meat	ニク	しし	肉
乳	6	1289	8	milk, breasts	ニュウ	ちち,ち	乞
睡	8	1739	13	drowsy, sleep, die	スイ	ねむ.る,ねむ.い	目
巨	8	892	5	gigantic, big, large, great	キョ		工
拒	8	863	8	repel, refuse, reject, decline	キョ,ゴ	こば.む	扎
虚	8	1454	11	void, emptiness, unpreparedness, crack, fissure, untruth	キョ,コ	むな.しい,うつ.ろ	虍
聴	8	781	17	listen, headstrong, naughty, careful inquiry	チョウ,テイ	き.く,ゆる.す	耳
諾	8	1490	15	consent, assent, agreement	ダク		言
漁	4	1094	14	fishing, fishery	ギョ,リョウ	あさ.る	汁
類	4	678	18	sort, kind, variety, class, genus	ルイ	たぐ.い	頁
群	4	1012	13	flock, group, crowd, herd, swarm, cluster	グン	む.れる,む.れ,むら,むら.がる	羊
享	8	1893	8	enjoy, receive, undergo, answer (phone), take, get, catch	キョウ,コウ	う.ける	亠
阪	4	503	7	heights, slope	ハン	さか	阡
伴	8	886	7	consort, accompany, bring with, companion	ハン,バン	ともな.う	化
著	6	849	11	renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work	チョ,チャク	あらわ.す,いちじる.しい	艾
犯	5	874	5	crime, sin, offense	ハン,ボン	おか.す	犯
鳴	2	1279	14	chirp, cry, bark, sound, ring, echo, honk	メイ	な.く,な.る,な.らす	鳥
凶	8	1673	4	villain, evil, bad luck, disaster	キョウ		凵
賛	5	868	15	approve, praise, title or inscription on picture, assist, agree with	サン	たす.ける,たた.える	貝
剛	8	1576	10	sturdy, strength	ゴウ		刀
請	8	524	15	solicit, invite, ask	セイ,シン,ショウ	こ.う,う.ける	言
壮	8	1657	6	robust, manhood, prosperity	ソウ	さかん	士
奪	8	974	14	rob, take by force, snatch away, dispossess, plunder, usurp	ダツ	うば.う	大
盗	8	1051	11	steal, rob, pilfer	トウ	ぬす.む,ぬす.み	皿
烈	8	1397	10	ardent, violent, vehement, furious, severe, extreme	レツ	はげ.しい	火
脅	8	1183	10	threaten, coerce	キョウ	おびや.かす,おど.す,おど.かす	肉
恐	8	878	10	fear, dread, awe	キョウ	おそ.れる,おそ.る,おそ.ろしい,こわ.い,こわ.がる	心
怖	8	1325	8	dreadful, be frightened, fearful	フ,ホ	こわ.い,こわ.がる,お.じる,おそ.れる	心
慌	8	1826	12	disconcerted, be confused, lose one's head	コウ	あわ.てる,あわ.ただしい	心
挟	8	1870	9	pinch, between	キョウ,ショウ	はさ.む,はさ.まる,わきばさ.む,さしはさ.む	扎
唆	8	1278	10	tempt, seduce, instigate, promote	サ	そそ.る,そそのか.す	口
授	5	535	11	impart, instruct, grant, confer	ジュ	さず.ける,さず.かる	扎
諭	8	1461	16	rebuke, admonish, charge, warn, persuade	ユ	さと.す	言
橋	3	553	16	bridge	キョウ	はし	木
奔	8	1884	8	run, bustle	ホン	はし.る	大
乱	6	755	7	riot, war, disorder, disturb	ラン,ロン	みだ.れる,みだ.る,みだ.す,みだ,おさ.める,わた.る	乞
狭	8	1346	9	cramped, narrow, contract, tight	キョウ,コウ	せま.い,せば.める,せば.まる,さ	犯
胸	6	1144	10	bosom, breast, chest, heart, feelings	キョウ	むね,むな-	肉
興	5	734	16	entertain, revive, retrieve, interest, pleasure	コウ,キョウ	おこ.る,おこ.す	臼
奮	6	1521	16	stirred up, be invigorated, flourish	フン	ふる.う	大
隆	8	1109	11	hump, high, noble, prosperity	リュウ		阡
麦	2	1615	7	barley, wheat	バク	むぎ	麦
郷	6	1077	11	home town, village, native place, district	キョウ,ゴウ	さと	邦
鏡	4	1506	19	mirror, speculum, barrel-head, round rice-cake offering	キョウ,ケイ	かがみ	金
仰	8	1573	6	face-up, look up, depend, seek, respect, revere, drink, take	ギョウ,コウ	あお.ぐ,おお.せ,お.っしゃる,おっしゃ.る	化
暁	8	1924	12	daybreak, dawn, in the event	ギョウ,キョウ	あかつき,さと.る	日
績	5	820	17	exploits, achievements, unreeling cocoons	セキ		糸
珠	8	1711	10	pearl, gem, jewel	シュ	たま	王
砕	8	1579	9	smash, break, crush, familiar, popular	サイ	くだ.く,くだ.ける	石
