surface	reading	meaning	frequency_rank	jlpt_level	part_of_speech
選手権	せんしゅけん	championship; title (of champion); championship game; championship tournament	4721		n
軌道	きどう	orbit; trajectory; (railroad) track	4722	N1	n
落ち込む	おちこむ	to feel down; to feel sad; to be depressed; to be in low spirits; to be in a slump (business, economy, etc.); to be in an unfavourable condition	4723	N1	v5m
戦術	せんじゅつ	tactics	4725	N1	n
防災	ぼうさい	disaster preparedness; prevention of damage resulting from a natural disaster; protection against disaster	4726		n
飲食	いんしょく	food and drink; eating and drinking	4728		n
接近	せっきん	getting closer; drawing nearer; approaching; being not much different; being near (age, skill, etc.)	4729	N2	n
文部省	もんぶしょう	Ministry of Education, Science and Culture (1871-2001)	4733		n
小川	おがわ	stream; brook; creek	4734		n
見出す	みいだす	to find out; to discover; to notice; to detect; to select; to pick out	4735		v5s
独身	どくしん	unmarried; single	4737	N3	adj-no
巨人	きょじん	giant; great man; Tokyo Giants (baseball team)	4738		n
消滅	しょうめつ	extinction; extinguishment; disappearance; vanishing; termination; lapse; annihilation	4740		n
解体	かいたい	demolition; taking down; dismantling; disassembly; taking apart; dissolution (of an organization, company, etc.); breaking up	4741		n
先端	せんたん	pointed end; tip; point; cusp (of a leaf, crescent moon, etc.); apex (of a curve); forefront; vanguard; spearhead; leading edge	4743	N2	n
配当	はいとう	allotment; apportionment; share; dividend	4744		n
両手	りょうて	both hands; both arms; ten	4746		n
争う	あらそう	to compete; to contest; to contend; to quarrel; to argue; to dispute; to be at variance; to oppose	4749	N2	v5u
在宅	ざいたく	being at home; being in	4750		n
一流	いちりゅう	first-class; first-rate; top-flight; top-ranking; leading; eminent; top; characteristic (of); peculiar (to); unique (to)	4752	N2	adj-no
結合	けつごう	combination; union; joining; linking; coupling; bond	4758	N1	n
生き物	いきもの	living thing; living creature; animal; life	4760	N3	n
庶民	しょみん	common people; ordinary people; masses	4761	N1	n
傑作	けっさく	masterpiece; masterwork; chef d'oeuvre; fine piece of work; (unintentionally) hilarious; absurd (e.g. blunder); outrageous; wild	4762	N2	n
実習	じっしゅう	practice (in the field); training (esp. practical and hands-on); practical exercise; drill	4763	N2	n
後輩	こうはい	junior (at work, school, etc.); younger people; younger student	4766	N2	n
複製	ふくせい	reproduction; duplication; reprinting	4767		n
反日	はんにち	anti-Japanese	4769		adj-no
分担	ぶんたん	taking on one's share (e.g. of work); dividing (work, expenses, etc.) between; apportionment; allotment; allocation; assignment	4770	N1	n
漁業	ぎょぎょう	fishing industry; fishery	4771	N2	n
分権	ぶんけん	decentralization of authority; decentralisation of authority	4772		n
再会	さいかい	meeting again; reunion	4773	N1	n
画家	がか	painter; artist	4774	N3	n
学期	がっき	school term; semester	4775	N3	n
財布	さいふ	wallet; purse; coin purse; billfold; pocketbook	4779	N5	n
最低限	さいていげん	minimum; at the very least	4780		n
教え	おしえ	teaching; instruction; teachings; precept; lesson; doctrine	4781	N1	n
被災	ひさい	suffering (from a disaster); being hit (by an earthquake, typhoon, etc.); falling victim (to)	4782		n
裏切る	うらぎる	to betray; to turn traitor (to); to double-cross; to go back on; to be unfaithful (to); to disappoint; to let down	4784	N3	v5r
待ち	まち	waiting; waiting time; wait tile; tile which would complete one's hand	4785		n
目撃	もくげき	witnessing; observing; sighting	4786		n
幸運	こううん	good luck; fortune	4787	N3	n
申し込む	もうしこむ	to apply for; to make an application; to propose (marriage); to offer (mediation); to make an overture (of peace); to challenge; to lodge (objections); to request (an interview); to subscribe for; to book; to reserve	4788	N3	v5m
任意	にんい	optional; voluntary; arbitrary; random; discretionary; facultative; spontaneous; any	4790		adj-no
早々	そうそう	as soon as ...; just after ...; immediately after ...; hurriedly; in haste; quickly; promptly; early	4796		n-suf
生存	せいぞん	existence; being; life; survival	4798	N2	n
周波数	しゅうはすう	frequency (esp. of waveforms)	4799		n
人員	じんいん	number of persons; personnel	4801		n
黒人	こくじん	black person; woman in the nightlife business; demimondaine; geisha and prostitutes	4802		n
地理	ちり	geography	4803	N4	n
計量	けいりょう	measuring; weighing; metric; distance function	4804		n
行き	いき	the way there; outbound leg; outbound trip; departing leg; bound for ...	4805	N3	n
就業	しゅうぎょう	employment; starting work	4807	N1	n
朝刊	ちょうかん	morning edition (of a daily newspaper); morning paper	4808		n
遺族	いぞく	bereaved family; surviving family; family of the deceased	4810		n
開業	かいぎょう	opening a business; opening a practice	4811		n
海洋	かいよう	ocean; sea	4812	N2	n
家事	かじ	housework; domestic chores; family affairs; household matters	4816	N3	n
定年	ていねん	(compulsory) retirement age; age limit; (compulsory) retirement (on reaching retirement age); mandatory retirement	4817	N1	n
いつの間にか	いつのまにか	before one knows; before one becomes aware of; unnoticed; unawares	4821	N2	adv
不快	ふかい	displeasure; discomfort; unpleasantness; indisposition; ailment	4822		n
海軍	かいぐん	navy; naval force	4823		n
解答	かいとう	answer; solution	4825	N2	n
伝達	でんたつ	transmission (e.g. news, chemical signals, electricity); communication; delivery; conveyance; transfer; relay; propagation; conduction	4826	N1	n
点検	てんけん	detailed inspection; thorough examination; checking	4827	N1	n
信念	しんねん	belief; faith; conviction	4829		n
知り合う	しりあう	to get to know each other; to make acquaintance	4831		v5u
何方	どなた	who	4832	N5	pn
死体	したい	dead body; corpse; cadaver; carcass	4833	N2	n
お手伝い	おてつだい	maid; helper; help; assistance	4836		n
外出	がいしゅつ	going out; outing; leaving (one's home, office, etc.)	4839	N3	n
排出	はいしゅつ	discharge; evacuation; emission (e.g. of CO2); ejection; excretion	4843		n
高額	こうがく	large sum (of money); large amount; large denomination (banknote, etc.)	4844		n
遂行	すいこう	accomplishment; execution	4845		n
成人	せいじん	adult; grown-up; becoming an adult; coming of age; growing up (to be a man, woman)	4849	N3	n
学園	がくえん	educational institution; school; academy; campus	4853		n
新書	しんしょ	new book; 17x11 cm paperback book	4854		n
入札	にゅうさつ	bid; tender; bidding	4855		n
乗り込む	のりこむ	to board (a train, plane, etc.); to get into (a car); to get on (a bus); to go on board; to get aboard; to march into; to enter; to arrive (at, in)	4856	N1	v5m
決済	けっさい	settlement (of an account); liquidation of debts; payment	4857		n
特典	とくてん	privilege; special favor; special favour; benefit; prerogative; perk; amenity	4862		n
儀式	ぎしき	ceremony; rite; ritual; service	4863	N2	n
実証	じっしょう	demonstration; verification; substantiation; actual proof	4865		n
二度と	にどと	never again	4869		adv
曲目	きょくもく	name of a piece of music; (musical) number; (musical) program; programme; selection (of music); list of songs	4870		n
自衛	じえい	self-defense; self-defence	4871	N2	n
新刊	しんかん	new book; new publication	4876		n
世界一	せかいいち	best in the world	4877		n
固有	こゆう	characteristic (of); peculiar (to); inherent (in); endemic; unique (to); native (to); intrinsic; eigen-	4878	N1	adj-no
有無	うむ	existence or nonexistence; presence or absence; consent or refusal; yes or no	4881	N2	n
大気	たいき	atmosphere; air; magnanimity; generosity	4883	N3	n
中略	ちゅうりゃく	omission (of middle part of a text); ellipsis	4885		n
予告	よこく	(advance) notice; preliminary announcement; warning; trailer (for a film, TV show, etc.)	4886		n
工房	こうぼう	workshop; studio; atelier	4888		n
難民	なんみん	refugee; displaced person; person inconvenienced by (lack of something, etc.); person unable to satisfactorily (marry, shop, etc.); person who is stuck (in a place or situation)	4889		n
交わす	かわす	to exchange (messages, greetings, arguments, etc.); to intersect; to cross; to interlace	4890	N1	v5s
倒産	とうさん	(corporate) bankruptcy; insolvency; commercial failure; failed business	4891	N1	n
地味	じみ	plain; simple; subdued; sober; reserved (behaviour, attitude, etc.); modest; quiet; unobtrusive	4893	N2	adj-na
取り扱い	とりあつかい	treatment; service; handling; management	4894	N1	n
先物	さきもの	futures; futures contract	4897		n
図面	ずめん	drawing; diagram; plans; blueprint	4899		n
消防	しょうぼう	fire fighting; fire department; fire brigade; firefighter	4901	N3	n
起訴	きそ	prosecution; indictment	4902		n
切り替える	きりかえる	to change; to switch; to change over (to); to renew	4903	N1	v1
検出	けんしゅつ	detection; sense (e.g. sensor)	4904		n
限度	げんど	limit; bounds	4907	N2	n
整う	ととのう	to be ready; to be prepared; to be arranged; to be in order; to be put in order; to be well-ordered; to be well-proportioned; to be harmonious	4908	N2	v5u
左手	ひだりて	left hand; left-hand side; left-hand direction; (on) the left	4910		n
欠点	けってん	fault; defect; flaw; weak point; weakness; shortcoming; drawback; failure (in an examination); failing grade	4911	N3	n
水道	すいどう	water supply; water service; waterworks; tap water; channel; strait	4912	N4	n
北部	ほくぶ	northern part; the north (of a region)	4914		n
取り込む	とりこむ	to take in; to bring in; to adopt (e.g. behaviour); to introduce; to capture (e.g. image); to import	4915		v5m
要は	ようは	in short; the point is; the important thing is; in a word; basically	4916		adv
検定	けんてい	official certification; official approval; inspection; verification; examination; certification examination; licensing examination; proficiency test	4917		n
何ら	なんら	(not) in any way; (not) at all; (none) whatsoever; what kind of	4919		adv
明記	めいき	clear writing; specification	4921		n
学力	がくりょく	scholarly ability; scholarship; knowledge; literary ability	4922	N2	n
分子	ぶんし	molecule; numerator	4923	N1	n
計測	けいそく	measuring; measurement	4924		n
東洋	とうよう	the East; the Orient; (East) Asia; Japan	4925	N2	n
親戚	しんせき	relative; relation; kin	4928	N3	n
告発	こくはつ	indictment; prosecution; complaint	4929		n
宿題	しゅくだい	homework; assignment; pending issue; unresolved problem; open question	4930	N5	n
追及	ついきゅう	investigation (e.g. into someone's guilt); questioning; pressing; hounding; pinning down; catching up; overtaking	4931	N1	n
青木	あおき	Japanese laurel (Aucuba japonica); spotted laurel; lush, green tree	4932		n
若しかして	もしかして	perhaps; possibly; maybe; by any chance; if I'm not mistaken; if; in case; in the event that	4934	N1	adv
対照	たいしょう	contrast; antithesis; comparison	4935	N2	n
一家	いっか	a family; a household; a home; one's family; whole family; (one's own) style; school	4936	N3	n
体育	たいいく	physical education; PE; gym (class)	4937	N3	n
貴族	きぞく	nobility; aristocracy; peerage	4940	N1	n
疲労	ひろう	fatigue; weariness; exhaustion; tiredness; fatigue (of metal, etc.)	4941	N1	n
特例	とくれい	special case; exception	4944		n
精度	せいど	precision; accuracy	4945		n
夫妻	ふさい	husband and wife; married couple	4947	N2	n
中途半端	ちゅうとはんぱ	halfway; half measures; unfinished; incomplete; by halves; half-baked; half-cocked; half-hearted; half-arsed; half-assed	4949		adj-na
追いかける	おいかける	to chase; to run after; to pursue; subsequently; following that; (and) then	4950	N2	v1
福	ふく	good fortune; happiness; blessing; good luck	4956	N1	n
反射	はんしゃ	reflection; reverberation; reflex; reflexes	4957	N1	n
使い	つかい	errand; mission; going on an errand; messenger; bearer; errand boy; errand girl	4958	N1	n
原料	げんりょう	raw materials; ingredient	4959	N2	n
中立	ちゅうりつ	neutrality	4960	N1	n
心地よい	ここちよい	comfortable; pleasant	4961		exp
相違	そうい	difference; discrepancy; variation	4963	N2	n
文	ぶん	sentence; composition; text; writings	4964	N3	n
特有	とくゆう	characteristic (of); peculiar (to)	4965	N1	adj-no
山形	やまがた	Yamagata (city, prefecture); mountain shape; chevron; cone	4966		n
改訂	かいてい	revision (of text); alteration; change	4970	N1	n
脱出	だっしゅつ	escape; getting away (from); getting out (of); prolapse; proptosis	4972	N1	n
防犯	ぼうはん	prevention of crime; security (device, camera, etc.)	4973	N2	n
指針	ししん	needle (compass, gauge, etc.); hand (clock); indicator; pointer; index; guiding principle; guideline; guide	4975		n
主流	しゅりゅう	(the) mainstream; main course (of a river); main stream	4977		n
この間	このあいだ	the other day; lately; recently; during this period; meanwhile; in the meantime	4981	N4	n
上級	じょうきゅう	upper level; upper grade; high rank; advanced level; senior level; upper class	4982	N2	n
全米	ぜんべい	all-America; pan-American; all of America	4983		n
刑務所	けいむしょ	prison; jail; gaol; penitentiary	4984		n
技能	ぎのう	technical skill; ability; capacity	4986	N1	n
出口	でぐち	exit; way out; outlet; vent	4987	N5	n
強める	つよめる	to strengthen; to emphasize; to emphasise	4994	N1	v1
太平洋	たいへいよう	Pacific Ocean	5000		n
ドイツ語	ドイツご	German (language)	5002		n
一斉	いっせい	simultaneous; all at once	5006	N2	adv
県民	けんみん	resident of a prefecture; citizen of a prefecture	5010		n
費やす	ついやす	to spend; to expend; to consume; to waste; to squander; to throw away	5011	N1	v5s
区分	くぶん	division; section; demarcation; partition; segmentation; compartment; (traffic) lane; classification; sorting; grouping	5016	N2	n
分裂	ぶんれつ	split; division; break up	5020	N1	n
気楽	きらく	carefree; comfortable; at ease; easygoing; happy-go-lucky	5023	N1	adj-na
白人	はくじん	white person; Caucasian; beginner; amateur	5024		n
経理	けいり	accounting; administration (of money)	5028		n
徴収	ちょうしゅう	collection (of fees, taxes, etc.); levy	5029	N1	n
利害	りがい	advantages and disadvantages; interests (of parties)	5031	N2	n
共謀	きょうぼう	conspiracy; collusion; complicity	5032		n
所長	しょちょう	head (of an office, laboratory, etc.); chief	5034		n
重量	じゅうりょう	weight	5036	N2	n
一つ一つ	ひとつひとつ	one-by-one; separately; in detail	5037		adv
道徳	どうとく	morals; morality	5038	N3	n
説く	とく	to explain; to preach; to advocate; to persuade; to prevail upon; to reason with; to urge (someone to do)	5040	N1	v5k
再編	さいへん	reorganization; reorganisation; reshuffle	5041		n
生地	きじ	cloth; fabric; material; texture; dough; batter	5045	N3	n
中年	ちゅうねん	middle-age; middle age; midlife; one's middle years	5046	N2	n
派手	はで	showy; loud; flashy; gaudy	5048	N2	adj-na
対決	たいけつ	confrontation; showdown	5049	N1	n
店頭	てんとう	shopfront; storefront; shopwindow; (near the) shop entrance; over-the-counter	5050		n
情けない	なさけない	miserable; pitiable; shameful; deplorable; pathetic	5051		adj-i
大都市	だいとし	metropolis; large city	5053		n
相次ぐ	あいつぐ	to follow in succession; to happen one after another	5054		v5g
還元	かんげん	restoration; return; reduction; resolution; deoxidization; deoxidation	5055	N1	n
入試	にゅうし	entrance examination	5056		n
首脳	しゅのう	head; leader; top; important part	5057	N1	n
学級	がっきゅう	(school) class	5063	N2	n
案外	あんがい	unexpectedly; surprisingly; unexpected; unanticipated; unforeseen; surprising	5065	N2	adv
苦情	くじょう	complaint; troubles; objection; grievance	5066	N2	n
海上	かいじょう	(on the) sea; surface of the sea	5067		n
同志	どうし	like-mindedness; (being of the) same mind; shared sentiment; comrade; fellow; kindred soul	5070	N1	n
成熟	せいじゅく	maturity; ripeness	5072	N1	n
目覚める	めざめる	to wake up; to awake; to awaken to (instinct, ability, perception, etc.); to become aware of; to become conscious of; to realize	5076	N1	v1
長時間	ちょうじかん	long time; several hours; long spell	5077		n
女王	じょおう	queen; female champion	5078	N3	n
系統	けいとう	system; lineage; ancestry; family line	5079	N2	n
独裁	どくさい	dictatorship; despotism; autocracy; running (a company, etc.) despotically	5080	N1	n
分布	ぶんぷ	distribution	5081	N2	n
動	どう	motion	5084		n
騒動	そうどう	riot; rebellion; turmoil; strife; (media) uproar; brouhaha; (public) outcry; scandal; controversy	5085	N1	n
妨害	ぼうがい	obstruction; hindrance; blocking; disturbance; interference; interruption; sabotage; jamming (a signal)	5086	N1	n
初めまして	はじめまして	nice to meet you; I'm glad to make your acquaintance; how do you do?	5088	N2	exp
安易	あんい	easy; simple; easygoing; lighthearted; simplistic; irresponsible; careless; quick (to do)	5090	N2	adj-na
実体	じったい	substance; essence; entity; subject; content; reality; true form	5092		n
日系	にっけい	(of) Japanese descent; non-Japanese of Japanese descent; nikkeijin	5094		n-pref
小屋	こや	hut; cabin; shed; (animal) pen; small theatre (theater); temporary playhouse; circus tent; booth	5095	N3	n
営利	えいり	money-making; commercialized; commercialised	5096		n
野党	やとう	opposition party; the opposition	5102	N1	n
言うまでもない	いうまでもない	goes without saying; needless to say; obvious	5103		exp
力強い	ちからづよい	powerful; strong; forceful; vigorous; reassuring; encouraging	5104	N2	adj-i
倶楽部	クラブ	club; fraternity; sorority; clubhouse	5105	N1	n
譲渡	じょうと	transfer; assignment; conveyance	5106		n
役人	やくにん	government official	5107	N2	n
回り	まわり	rotation; making the rounds	5108	N3	n
他社	たしゃ	another company; other company	5109		n
高価	こうか	highly priced; expensive; valuable; costly	5112	N3	adj-na
改める	あらためる	to change; to alter; to revise; to replace; to reform; to correct; to mend; to improve	5113	N2	v1
売り場	うりば	selling area; counter; section; department; sales floor; favorable time to sell; good time to sell	5114	N4	n
親しい	したしい	close (e.g. friend); familiar; friendly; intimate; familiar (e.g. story); well-known (to one)	5115	N3	adj-i
公益	こうえき	public interest; public benefit; public good	5116		n
全文	ぜんぶん	whole passage; full text; whole sentence; full paragraph	5119		n
達する	たっする	to reach; to get to; to arrive at	5121	N3	vs-s
心がける	こころがける	to keep in mind; to bear in mind; to try; to aim to do; to endeavor; to endeavour	5123	N1	v1
住	じゅう	dwelling; living	5125	N1	n
土曜	どよう	Saturday	5127	N3	n
反面	はんめん	while; although; though; but; (but) on the other hand; at the same time; then again; and yet	5128		conj
迫力	はくりょく	impressiveness; impact; force; intensity; presence; appeal; strength; punch; edge; vigor	5130		n
理性	りせい	reason; reasoning power; (one's) sense	5133	N1	n
方策	ほうさく	plan; measure; means; scheme; policy	5134	N1	n
有害	ゆうがい	harmful; hazardous	5135		adj-na
上げ	あげ	tuck (e.g. in a dress); rise (e.g. in price)	5136		n
乗客	じょうきゃく	passenger	5140	N3	n
布団	ふとん	futon; Japanese bedding consisting of a mattress and a duvet; round cushion used for Zen meditation (traditionally made of woven bulrush leaves)	5142	N4	n
片手	かたて	one hand	5143		n
座席	ざせき	seat (esp. in public places or places with assigned seating); seating	5145	N3	n
形状	けいじょう	shape; form	5147		n
立ち寄る	たちよる	to drop in (at); to drop by; to call at; to stop by; to stop off; to stop in	5152	N1	v5r
主権	しゅけん	sovereignty; supremacy; dominion	5154	N1	n
開拓	かいたく	reclamation (e.g. of wasteland); cultivation; development; pioneering; opening up (e.g. of a new market); breaking new ground; trailblazing	5156	N1	n
右側	みぎがわ	right side; right-hand side	5157		n
原点	げんてん	starting point; origin; beginning; origin (of coordinate axes)	5159	N1	n
夜間	やかん	night; nighttime	5161	N2	n
年収	ねんしゅう	annual income	5164		n
偽造	ぎぞう	forgery; counterfeiting; fabrication; falsification	5166	N1	n
出品	しゅっぴん	exhibiting; showing; putting on display; putting up for sale; entering (a work into a competition); submitting	5167	N1	n
写る	うつる	to be photographed; to be projected	5168	N2	v5r
今年度	こんねんど	this year; this fiscal year; this school year	5169		n
利点	りてん	advantage; point in favor; point in favour	5171	N1	n
繰り広げる	くりひろげる	to unfold; to unroll; to open	5172		v1
中旬	ちゅうじゅん	middle ten days of a month; 11th to 20th day of a month	5175	N2	n
大した	たいした	considerable; great; important; significant; a big deal	5176	N3	adj-pn
青山	せいざん	lush mountain; green mountain; grave; burial place	5177		n
産地	さんち	producing area; place of origin; growing district; home (of a plant or animal); habitat; locality	5179	N2	n
生える	はえる	to grow; to spring up; to sprout; to cut (teeth)	5180	N2	v1
民衆	みんしゅう	people; populace; masses	5181		n
年寄り	としより	old person; elderly person; senior citizen; trustee of the Japan Sumo Association; retired high-ranking wrestler who is licensed to coach and receives retirement pay	5182	N3	n
仕上げる	しあげる	to finish up; to complete; to finish off; to get through; to polish off	5183	N1	v1
偏見	へんけん	prejudice; bias; distorted view	5185	N1	n
教訓	きょうくん	lesson; precept; teachings; moral	5186	N1	n
視察	しさつ	inspection; observation	5187	N1	n
主任	しゅにん	person in charge; senior staff; manager; chief; head	5188	N1	n
言論	げんろん	(one's) speech; expression of views; discussion	5193	N1	n
来月	らいげつ	next month	5195	N5	n
主題	しゅだい	subject; theme; motif	5196	N1	n
早急	そうきゅう	immediate; prompt; quick; rapid; urgent; pressing	5197	N1	adj-na
対談	たいだん	talk; dialogue; conversation	5198	N1	n
選定	せんてい	selection	5200		n
中断	ちゅうだん	interruption; suspension; break	5201	N1	n
条項	じょうこう	clause; article; stipulations	5203		n
保育園	ほいくえん	nursery school; day nursery; day care center	5205		n
福音	ふくいん	good news; glad tidings; gospel (teachings or revelations of Christ)	5207		n
診察	しんさつ	medical examination; checkup; consultation	5208	N3	n
正体	しょうたい	true character; true form; true colors; identity; truth (of a mystery, phenomenon, etc.); origin; consciousness; one's senses	5211		n
原発	げんぱつ	nuclear power plant; nuclear power generation; primary (e.g. primary immunodeficiency syndrome)	5212		n
自作	じさく	one's own work; making by oneself; farming on one's own land; independent farmer	5213		n
生き残る	いきのこる	to survive	5214		v5r
土日	どにち	weekend; Saturday and Sunday	5216		n
入会	にゅうかい	admission (to a society, club, etc.); joining; entrance; enrollment; enrolment; becoming a member	5220		n
不能	ふのう	impossible; incapable (of doing); unable (to do); incompetence; inability	5221		adj-na
起源	きげん	origin; beginning; source	5226	N1	n
国防	こくぼう	national defence; national defense	5228	N1	n
夢中	むちゅう	absorbed in; immersed in; crazy about; obsessed with; devoted to; forgetting oneself; daze; trance; ecstasy; delirium	5231	N3	adj-na
持ち出す	もちだす	to take out; to carry out; to bring out from where it belongs; to mention something; to broach a topic; to bring up (a subject); to raise (an issue); to mention	5232		v5s
本年	ほんねん	this (current) year	5237		n
複合	ふくごう	composite; combined; complex	5238	N1	n
気象	きしょう	weather (conditions); disposition; temperament	5240	N1	n
摂取	せっしゅ	intake (e.g. of salt); ingestion; absorption (e.g. of new knowledge); adoption (e.g. of foreign culture); assimilation	5241		n
和解	わかい	reconciliation; amicable settlement; accommodation; compromise; mediation; rapprochement; court-mediated settlement	5246		n
名乗る	なのる	to give one's name (as); to introduce oneself (as); to claim to be; to call oneself; to wear the title of	5251		v5r
球団	きゅうだん	baseball team	5254		n
合宿	がっしゅく	lodging together; training camp; boarding house	5256		n
真相	しんそう	truth; real situation	5258	N1	n
黄金	おうごん	gold (Au); golden; prosperous; excellent; superb	5259	N1	n
補正	ほせい	correction; revision; compensation (e.g. to a pendulum)	5260		n
家賃	やちん	rent	5262	N3	n
同日	どうじつ	the same day	5265		n
規範	きはん	model; standard; pattern; norm; criterion; example	5268	N1	n
公衆	こうしゅう	the public; general public	5269	N2	n
打ち出す	うちだす	to emboss; to print out; to print	5271		v5s
主として	しゅとして	mainly; chiefly; primarily; for the most part	5273		exp
阻止	そし	obstruction; prevention; hindrance; check; blocking; stopping	5276	N1	n
持ち主	もちぬし	owner; proprietor; possessor (e.g. of talent, beauty, etc.)	5278		n
町村	ちょうそん	towns and villages	5279		n
真似	まね	imitating; copying; mimicry; behavior; behaviour; action; conduct	5282	N3	n
添付	てんぷ	attaching (documents, etc.); appending; affixing	5285		n
堪能	たんのう	proficient; skilled; skillful; good; accomplished; enjoying to the full; full satisfaction; being satiated (with); having one's fill (of)	5288		adj-na
子会社	こがいしゃ	subsidiary (company)	5290		n
存続	そんぞく	continuance; survival; persistence; retention; duration	5291	N1	n
国庫	こっこ	national treasury	5292		n
中島	なかじま	island in a pond or river	5295		n
識別	しきべつ	distinction; discrimination; discernment; identification	5297		n
無断	むだん	absence of permission; lack of permission; absence of (advance) notice; lack of notice	5298	N1	n
不便	ふべん	inconvenience; inexpediency; unhandiness	5302	N4	n
英雄	えいゆう	hero; heroine; great person; Eroica Symphony (Beethoven, 1804)	5303	N1	n
歩行	ほこう	walking; walk	5308		n
今まで	いままで	until now; till now; up to now; up to the present; so far	5309		adv
青少年	せいしょうねん	young people; youth; the younger generation	5311	N2	n
広域	こういき	wide area; wide view (of a digitally displayed map); zoomed-out view	5312		n
名簿	めいぼ	register of names; list of names; roll; register; roster	5313	N1	n
優位	ゆうい	predominance; superiority; ascendancy; advantage; supremacy	5314	N1	n
命じる	めいじる	to order; to command; to appoint	5316	N3	v1
行列	ぎょうれつ	line; queue; procession; parade; matrix	5318	N2	n
依然として	いぜんとして	still; as yet; as of old	5321		exp
名刺	めいし	business card	5322	N2	n
五輪	ごりん	Olympic Games; Olympics; Olympic rings	5323		n
配達	はいたつ	delivery	5324	N3	n
独り言	ひとりごと	soliloquy; monologue; speaking to oneself	5327	N2	n
誠実	せいじつ	sincere; honest; faithful	5328	N1	adj-na
良心	りょうしん	conscience	5330	N1	n
頻度	ひんど	frequency (of occurrence)	5331		n
単行本	たんこうぼん	standalone book (i.e. not part of an anthology, series, etc.); (book published as a) single volume; tankōbon; individual volume of a manga series	5332		n
他国	たこく	foreign country; another country; another province	5333		n
連動	れんどう	operating together; working together; being linked (to); being tied (to); being connected (with); interlocking	5335		n
奉仕	ほうし	service; ministry; attendance; church work; offering goods at a reduced price; providing a service for free	5336	N1	n
公認	こうにん	official recognition; official approval; certification; authorization; authorisation	5337	N1	n
局面	きょくめん	position in a game; state of the game; situation; stage; phase; aspect	5339		n
安保	あんぽ	security (e.g. national security); US-Japan Security Treaty	5340		n
追い込む	おいこむ	to herd; to drive; to chase; to corral; to corner; to force someone into doing	5342	N1	v5m
月刊	げっかん	monthly publication; monthly issue	5343		n
是正	ぜせい	correction; revision; redressing; rectifying	5344	N1	n
後期	こうき	latter period; second half; late stage; third trimester; second semester	5345		n
和紙	わし	washi; Japanese paper	5346		n
土壌	どじょう	soil; breeding ground (for); fertile ground (for)	5349		n
詩人	しじん	poet	5350	N3	n
分配	ぶんぱい	division; splitting; sharing; distribution; dissemination; allocation	5351	N1	n
締結	ていけつ	conclusion; execution (of a contract); entering (into treaty); fastening (as in a joint)	5352		n
持参	じさん	bringing; taking; carrying	5353	N2	n
定番	ていばん	standard item; usual thing; (a) classic; go-to choice; staple; regular fixture; standard procedure; convention; basic item (with stable demand); staple goods	5359		n
修復	しゅうふく	restoration; repair; mending	5360		n
敬意	けいい	respect; honour; honor	5361	N3	n
王様	おうさま	king	5363	N3	n
左側	ひだりがわ	left side; left-hand side	5364		n
不通	ふつう	suspension; interruption; stoppage; tie-up; cessation	5367	N2	n
明白	めいはく	obvious; clear; plain; evident; apparent; explicit; overt	5368		adj-na
支障	ししょう	obstacle; hindrance; impediment; difficulty	5370		n
大胆	だいたん	bold; daring; audacious	5371	N1	adj-na
除去	じょきょ	removal; getting rid of	5372		n
納税	のうぜい	payment of taxes	5375		n
小遣い	こづかい	pocket money; spending money; pin money; allowance	5378	N2	n
退屈	たいくつ	tedious; boring; dull; uninteresting; tiresome; monotonous; to feel bored; to get bored (with); to get tired (of)	5381	N3	adj-na
大正	たいしょう	Taishō era (1912.7.30-1926.12.25); Taisho era	5382		n
助言	じょげん	advice; counsel; suggestion; tip; hint	5383	N1	n
小規模	しょうきぼ	small scale	5385		adj-na
明示	めいじ	elucidation; explicit statement; specification	5389		n
一々	いちいち	one-by-one; separately; every single; each and every; without omission; fully; in detail	5390	N2	n
復旧	ふっきゅう	restoration; restitution; rehabilitation	5391	N1	n
下旬	げじゅん	last third of a month; 21st to the last day of a month	5392	N2	n
数量	すうりょう	quantity; volume; amount	5393		n
野生	やせい	wild; growing wild; living in the wild	5395	N1	adj-no
友好	ゆうこう	friendship	5396	N2	n
諮問	しもん	consultation; question; enquiry; inquiry	5397		n
最小限	さいしょうげん	minimum; lowest; minimal; least; at a minimum	5398		adj-no
残高	ざんだか	(bank) balance; remainder	5399	N1	n
寄与	きよ	contribution; service	5402	N1	n
上限	じょうげん	upper limit; supremum	5405		n
武力	ぶりょく	armed might; military power; the sword; force	5406	N1	n
近隣	きんりん	neighbourhood; neighborhood; vicinity	5408		n
不信	ふしん	distrust; mistrust; disbelief; discredit; insincerity	5409		n
運賃	うんちん	(passenger) fare; freight rates; shipping expenses	5411	N1	n
要領	ようりょう	point; gist; essentials; tenets; outline; knack; trick; the ropes	5414	N2	n
発掘	はっくつ	excavation; exhumation; digging up; unearthing; discovery (of a new fact, talent, etc.); finding	5415	N1	n
新築	しんちく	new building; new construction	5417	N1	n
仮想	かそう	imagination; supposition; virtual; potential (enemy)	5418		n
円滑	えんかつ	smooth; undisturbed; uninterrupted; harmonious	5420	N1	adj-na
直感	ちょっかん	intuition; instinct; hunch	5421	N1	n
過激	かげき	extreme (measure, idea, etc.); radical; violent (language); strenuous (exercise, work, etc.); excessive; (physically) demanding	5426		adj-na
