surface	reading	meaning	frequency_rank	jlpt_level	part_of_speech
頭	とう	counter for large animals (e.g. head of cattle); counter for insects in a collection; counter for helmets, masks, etc.	395		ctr
子	こ	child; kid; teenager; youngster; young (non-adult) person; (one's) child; offspring	397	N4	n
自由	じゆう	freedom; liberty	398	N4	n
過ぎる	すぎる	to pass through; to pass by; to go beyond; to pass (of time); to elapse	399	N4	v1
昨日	きのう	yesterday	400	N5	n
直ぐ	すぐ	immediately; at once; right away; directly; soon; before long; shortly	402	N1	adv
全体	ぜんたい	whole; entirety; to begin with; in the first place	406	N3	n
長い	ながい	long (distance, length); long (time); protracted; prolonged	407	N5	adj-i
少ない	すくない	few; little; small (amount); low; scarce; insufficient; seldom; rare	408	N5	adj-i
気持ち	きもち	feeling; sensation; mood; state of mind; preparedness; readiness; attitude	409	N4	n
報告	ほうこく	report; information	410	N3	n
程度	ていど	degree; amount; grade; standard; of the order of (following a number); about; approximately	411	N3	n
人々	ひとびと	people; men and women; each person; everybody	412		n
予定	よてい	plans; arrangement; schedule; program; programme; expectation; estimate	413	N4	n
代表	だいひょう	representation; representative; delegate; delegation; exemplification; typification; being representative of; being typical of; representative example; exemplar; model	414	N3	n
経験	けいけん	experience	415	N4	n
型	かた	type; style; model; pattern; mold; mould; template; impression	416	N3	n
員	いん	member	417	N1	n
以外	いがい	excluding; except (for); apart from; other than; besides; in addition to; outside (a boundary, scope, etc.)	419	N4	n-suf
今年	ことし	this year	421	N5	n
価格	かかく	price; value; cost	422	N3	n
投資	とうし	investment	423	N1	n
経営	けいえい	management; administration; operation; running (a business); conducting	424	N3	n
早い	はやい	fast; quick; rapid; swift; speedy; brisk; prompt; early; soon; earlier than usual	425	N5	adj-i
自然	しぜん	nature; natural; spontaneous; automatic	429	N3	n
商品	しょうひん	commodity; article of commerce; goods; stock; merchandise	430	N3	n
中々	なかなか	very; considerably; easily; readily; fairly; quite; highly; rather; by no means; not readily	431	N4	adv
発表	はっぴょう	announcement; publication; presenting; statement; communique; making known; breaking (news story); expressing (one's opinion); releasing; unveiling	432	N3	n
教える	おしえる	to teach; to instruct; to tell; to inform; to show	433	N5	v1
目的	もくてき	purpose; goal; aim; objective; intention; motive	434	N3	n
影響	えいきょう	influence; effect; impact	435	N3	n
地方	ちほう	district; region; area; locality; the country; countryside; the provinces; rural area	436	N3	n
生きる	いきる	to live; to exist; to make a living; to subsist	437	N4	v1
一緒	いっしょ	(doing) together; one lump; one mixture; the same category	440	N5	n
面	おもて	face; surface	441	N1	n
選手	せんしゅ	player (of a sport); athlete; team member	443	N3	n
楽しい	たのしい	enjoyable; fun; pleasant; happy; delightful	444	N5	adj-i
道	みち	road; path; street; lane; passage; route; way	445	N5	n
実は	じつは	as a matter of fact; by the way; to tell you the truth; to be honest; frankly; actually	447	N3	exp
確か	たしか	sure; certain; positive; definite; reliable; trustworthy; safe; sound; firm; accurate; correct; exact	448	N4	adj-na
千	せん	thousand; 1,000	449	N5	num
確認	かくにん	confirmation; verification; validation; review; check; affirmation; identification	450	N3	n
夜	よる	night; evening; dinner	452	N5	n
例えば	たとえば	for example; for instance; e.g.	453	N4	adv
中心	ちゅうしん	center; centre; middle; heart; core; focus; pivot; emphasis; balance; -centered; -centred; -focused; -oriented; centered on; focused on	454	N3	n
市場	いちば	(town) market; (street) market; marketplace	455	N3	n
音	おと	sound; noise; (musical) note	456	N4	n
提供	ていきょう	offer; tender; providing; supplying; making available; donating (blood, organs, etc.); sponsoring (a TV program)	457	N1	n
事実	じじつ	fact; truth; reality	458	N3	adv
地	ち	earth; ground; land; soil; place	459	N3	n
面白い	おもしろい	interesting; fascinating; intriguing; enthralling; amusing; funny; comical	461	N5	adj-i
朝	あさ	morning; breakfast	462	N5	n
学	がく	learning; scholarship; study; erudition; knowledge; education; study of ...; -ology; -ics	464	N3	n
何故	なぜ	why; how; for what reason	465	N5	adv
当然	とうぜん	natural; right; proper; just; reasonable; appropriate; deserved; naturally; as a matter of course; rightly; deservedly; justly; of course	466		adj-no
以下	いか	not exceeding ...; not more than ...; ... and under; ... and below; ... or fewer; below (a standard, level, etc.); under; beneath; less than	467	N4	n-suf
責任	せきにん	duty; responsibility (incl. supervision of staff); liability; onus	468	N3	n
六	ろく	six; 6	469	N5	num
議論	ぎろん	argument; discussion; dispute; controversy	471	N3	n
以前	いぜん	before; prior to; ago; the past; previously; former times	473	N3	n-suf
位	くらい	throne; crown; (nobleman's) seat; government position; court rank	474	N3	n
示す	しめす	to (take out and) show; to demonstrate; to tell; to exemplify; to make apparent; to point out (finger, clock hand, needle, etc.)	476	N3	v5s
判断	はんだん	judgment; judgement; decision; conclusion; adjudication; divination	477	N3	n
例	れい	example; instance; illustration; case; precedent	478	N3	n
専門	せんもん	speciality; specialty; special subject of study; area of expertise; (one's) field; (one's) major; sole interest; single focus; concentrating exclusively on; doing exclusively; sticking to	479		n
家族	かぞく	family	480	N5	n
初めて	はじめて	for the first time; only after ... is it ...; only when ... do you ...; not until ... do you ...	482	N5	adv
勉強	べんきょう	study; diligence; working hard	483	N5	n
申し上げる	もうしあげる	to say; to tell; to state; to express; to offer; to extend (greetings, congratulations, etc.); to do	484	N4	v1
話す	はなす	to talk; to speak; to converse; to chat; to tell; to explain; to narrate; to mention; to describe; to discuss	485	N5	v5s
期待	きたい	expectation; anticipation; hope; promising; rising; up-and-coming	486	N3	n
難しい	むずかしい	difficult; hard; troublesome; complicated; serious (disease, problem, etc.); impossible; unfeasible	487	N5	adj-i
居間	いま	living room (Western style); sitting room	489	N3	n
